run_accession	fastq_ftp
SRR2139220	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/000/SRR2139220/SRR2139220.fastq.gz
SRR2139222	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/002/SRR2139222/SRR2139222.fastq.gz
SRR2139227	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/007/SRR2139227/SRR2139227.fastq.gz
SRR2139229	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/009/SRR2139229/SRR2139229.fastq.gz
SRR2139234	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/004/SRR2139234/SRR2139234.fastq.gz
SRR2139235	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/005/SRR2139235/SRR2139235.fastq.gz
SRR2139239	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/009/SRR2139239/SRR2139239.fastq.gz
SRR2139253	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/003/SRR2139253/SRR2139253.fastq.gz
SRR2139254	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/004/SRR2139254/SRR2139254.fastq.gz
SRR2139255	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/005/SRR2139255/SRR2139255.fastq.gz
SRR2139268	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/008/SRR2139268/SRR2139268.fastq.gz
SRR2139270	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/000/SRR2139270/SRR2139270.fastq.gz
SRR2139274	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/004/SRR2139274/SRR2139274.fastq.gz
SRR2139277	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/007/SRR2139277/SRR2139277.fastq.gz
SRR2139281	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/001/SRR2139281/SRR2139281.fastq.gz
SRR2139282	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/002/SRR2139282/SRR2139282.fastq.gz
SRR2139287	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/007/SRR2139287/SRR2139287.fastq.gz
SRR2139289	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/009/SRR2139289/SRR2139289.fastq.gz
SRR2139292	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/002/SRR2139292/SRR2139292.fastq.gz
SRR2139294	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/004/SRR2139294/SRR2139294.fastq.gz
SRR2139297	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/007/SRR2139297/SRR2139297.fastq.gz
SRR2139304	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/004/SRR2139304/SRR2139304.fastq.gz
SRR2139306	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/006/SRR2139306/SRR2139306.fastq.gz
